name,free_returns,items_sold,price,shipping,status
Adidas Soccer miCoach Smart Ball G83963 Training Ball Integrated Sensor Size 5,True,,2000,2035,Pre-Owned
Nike PSG Paris Saint Germain Strike Soccer Ball Official DJ9960-410 Full Size 5,True,,1840,1710,Pre-Owned
*RARE* Nike T90 Aerow ll | LFP | Temporada l Official Match ball l Size 5,True,,2900,0,Brand New
SOCCER BALL-ADIDAS-SIZE-5-MLS CLUB MATCH BALL ORANGE/PURPLE-NEW,True,0,1400,1260,Brand New
 Soccer Balls Size 4,True,107,1299,0,Brand New
Spedster Galaxy Soccer Ball Size 2 Black/white Color,True,,999,0,Brand New
Spedster Match Futsal ball world cup 2018 ,True,,1999,0,Brand New
Nike STRIKE Premier League 21/22 Winter Match Ball *Replica* Size 5 Yellow/Blue,True,0,5500,0,Brand New
"Smart Ball The Revolutionary Training Soccer Ball - Size 8.5""",True,0,3447,0,Brand New
KICKERBALL by SWERVE BALL SOCCER BALL SWERVES AND CURVES New With Instructions,True,,1000,1710,Brand New
ADIDAS FINALE UEFA CHAMPIONS MILANO LEAGUE  MATCH BALL 2016,True,0,6300,0,Brand New
Nike Strike Aerowsculpt Technology Soccer Ball Size 5,True,,3999,0,Brand New
NIKE PARK TRAINING SOCCER BALL PELOTA DE FUTBOL DN3607-100 SIZE # 5 WHITE BLACK,True,0,2799,0,Brand New
Puma Spirit  Ball Mens Soccer Cleats     - White,True,69,1599,0,Brand New
"Smart Ball The Revolutionary Training Soccer Ball - Size 8.5""",True,0,3447,0,Brand New
Puma Spirit  Ball Mens Soccer Cleats     - White,True,69,1599,0,Brand New
Adidas UEFA Champions League 2017 Match Ball Football Size 5,True,20,5900,0,Brand New
Adidas Size 5 White Blue Red MLS Club Match Ball Replica Soccer Ball~ NEW!,True,0,2599,0,Brand New
KICKERBALL by SWERVE BALL SOCCER BALL SWERVES AND CURVES New With Instructions,True,,1000,1710,Brand New
Nike Strike Aerowsculpt Technology Soccer Ball Size 5,True,,3999,0,Brand New
Adidas Telstar World Cup 2018 Russia Mini Soccer Ball  (SIZE 1),True,0,5900,595,Brand New
Qatar 2022 official Soccer Ball size 5,True,,2999,0,Brand New
